1,4,0.03,7,0,1,3,0,0.98522
2,4,0.03,19,0,3,3,0,0.46779
3,4,0.03,6,0,1,3,1,0.72617
4,4,0.03,7,1,1,3,0,0.61316
5,4,0.03,5,0,1,3,0,0.92421
6,4,0.03,9,0,2,3,0,0.68294
7,4,0.03,6,1,1,3,0,0.57926
8,4,0.03,23,0,3,3,0,0.78231
9,4,0.03,7,2,1,3,0,0.78892
10,4,0.03,10,0,2,3,1,0.41284
11,4,0.03,4,0,1,3,0,0.058184
12,4,0.03,17,0,3,3,0,0.30501
13,4,0.03,22,0,3,3,0,0.0029624
14,4,0.03,14,0,2,3,0,0.39657
15,4,0.03,12,0,2,3,0,0.34296
16,4,0.03,3,0,1,3,0,0.31731
17,4,0.03,5,1,1,3,0,0.16111
18,4,0.03,2,0,1,3,0,0.13337
19,4,0.03,8,0,1,3,0,0.20039
20,4,0.03,24,0,3,3,0,0.14328
21,4,0.03,10,1,2,3,1,0.18655
22,4,0.03,14,1,2,3,1,0.46197
23,4,0.03,23,1,3,3,0,0.26692
24,4,0.03,15,0,2,3,0,0.61618
25,4,0.03,23,2,3,3,0,0.37633
26,4,0.03,8,1,1,3,0,0.3163
27,4,0.03,19,1,3,3,0,0.24543
28,4,0.03,17,1,3,3,0,0.16423
29,4,0.03,14,2,2,3,0,0.19263
30,4,0.03,3,1,1,3,0,0.33504
31,4,0.03,3,2,1,3,0,0.42199
32,4,0.03,2,1,1,3,0,0.24566
33,4,0.03,8,2,1,3,0,0.12447
34,4,0.03,20,0,3,3,1,0.13969
35,4,0.03,15,1,2,3,0,0.01814
36,4,0.03,20,1,3,3,0,0.13263
37,4,0.03,20,2,3,3,0,0.0035163
38,4,0.03,5,2,1,3,1,0.072583
39,4,0.03,18,0,3,3,0,0.18631
40,4,0.03,12,1,2,1,1,0.0031373
41,4,0.03,15,2,2,3,0,0.0040895
42,4,0.03,4,1,1,3,1,0.0029318
43,4,0.03,18,1,3,3,0,0.0030272
44,4,0.03,1,0,1,1,1,0.0046955
45,4,0.03,4,2,1,3,0,0.0032945
46,4,0.03,12,2,2,1,0,0.0030577
47,4,0.03,16,0,2,1,0,0.20561
48,4,0.03,10,2,2,3,0,0.0035538
49,4,0.03,2,2,1,3,0,0.2059
